Nit sqrt fn sigma_half Rn exp sigma sqrt_restart
76 0.00363768709569801 56.4508664714915 1.36042378828805e-06 6.19011997216035e-07 0.1807635718972 4.0244307459858e-06 0.0363745478352064
77 0.00361394053081154 56.0691772935979 1.10072513237469e-06 4.98254196124037e-07 0.1807635718972 3.27593256388425e-06 0.0361374711394755
78 0.00359065708987849 55.6948821603185 8.90697527733408e-07 4.0112980581597e-07 0.1807635718972 2.66679429250516e-06 0.0359049765739763
79 0.00356782347665119 55.3277461431029 7.2081921898004e-07 3.2299749763709e-07 0.1807635718972 2.1710372557493e-06 0.0356769178124621
80 0.00354542809815905 54.9675446276551 5.83398850562133e-07 2.60131095775051e-07 0.1807635718972 1.7675223467073e-06 0.0354531556985775
81 0.00352345583877156 54.6140627390133 4.72223896430535e-07 2.09538011830546e-07 0.1807635718972 1.43906601879351e-06 0.035233568722413
82 0.00350188875025825 54.2670948053153 3.82271303500659e-07 1.68814404233331e-07 0.1807635718972 1.17169383706539e-06 0.0350180278325167
83 0.00348071421934293 53.9264438572108 3.09481376525866e-07 1.36028932562482e-07 0.1807635718972 9.54034368394474e-07 0.0348063979435707
84 0.00345992032361364 53.5919211601545 2.50574026861017e-07 1.0962931584757e-07 0.1807635718972 7.76834908400303e-07 0.034598561746229
85 0.00343949566470503 53.2633457770557 2.02895700684991e-07 8.83679178720342e-08 0.1807635718972 6.32572395353748e-07 0.0343944069528046
86 0.0034194293360188 52.9405441589848 1.64302472072109e-07 7.12414567338726e-08 0.1807635718972 5.15117550836663e-07 0.0341938259138193
87 0.00339971088856883 52.6233497618335 1.33060207740954e-07 5.74433474120895e-08 0.1807635718972 4.19486926972468e-07 0.0339967153674574
88 0.00338033031022 52.3116026870068 1.07766581436408e-07 4.63248785997905e-08 0.1807635718972 3.41620411514754e-07 0.0338029762071517
89 0.00336127799648533 52.0051493443843 8.72873076041003e-08 3.73641664275226e-08 0.1807635718972 2.78216790494668e-07 0.0336125132650382
90 0.00334254487270735 51.7038421359407 7.0704659016485e-08 3.01412241832111e-08 0.1807635718972 2.26585376239541e-07 0.0334252351097373
91 0.00332412346431177 51.4075391585429 5.72764689010796e-08 2.43181044190521e-08 0.1807635718972 1.8454027861381e-07 0.0332410538572785
92 0.00330600454745067 51.1161039245673 4.64016807200096e-08 1.96227691873219e-08 0.1807635718972 1.50299856116476e-07 0.0330598849940116
93 0.00328817900922607 50.829405099086 3.75940287788978e-08 1.58362274405022e-08 0.1807635718972 1.22415509284934e-07 0.032881647210576
94 0.00327063897487223 50.5473162524752 3.0459990529863e-08 1.27820838358161e-08 0.1807635718972 9.97066158525683e-08 0.0327062622460015
95 0.00325337687608673 50.2697156273854 2.4681095389667e-08 1.03183288580055e-08 0.1807635718972 8.1211829705552e-08 0.0325336547411816
96 0.00323638542653759 49.9964859191006 1.99997542971175e-08 8.3305558007396e-09 0.1807635718972 6.61496706300113e-08 0.0323637521010651
97 0.00321965760763643 49.7275140683854 1.62072337772656e-08 6.72654687505769e-09 0.1807635718972 5.38837983121709e-08 0.032196484364921
98 0.00320318665556352 49.4626910659891 1.31346120646469e-08 5.43207656633626e-09 0.1807635718972 4.3893491508129e-08 0.032031784082319
99 0.00318696604908641 49.2019117680413 1.06450874781672e-08 4.38722214113341e-09 0.1807635718972 3.57559777341976e-08 0.0318695862032401
100 0.00317098949812467 48.9450747216273 8.62786864175291e-09 3.54376350486518e-09 0.1807635718972 2.91284982800732e-08 0.0317098279633319
101 0.00315525093314228 48.6920819998876 6.99327351583179e-09 2.86277845873428e-09 0.1807635718972 2.37298083405335e-08 0.0317097012608705
102 0.00313974449502297 48.4428390460317 5.66857005779298e-09 2.31291874541739e-09 0.1807635718972 1.93323694830383e-08 0.0228625037519339
103 0.00312446452563586 48.1972545257043 4.59501325877909e-09 1.86884063779758e-09 0.1807635718972 1.57500306130487e-08 0.0184498402254922
104 0.0031094055589449 47.9552401871784 3.72492214850695e-09 1.51019374783345e-09 0.1807635718972 1.28316681724527e-08 0.0159294616339927
